task,level,level_name,prompt,mean_quality,quality_std,sample_output
Explain Climate Change,1,L1_vague,Explain climate change.,7.0,1.4142,"Climate change refers to the long-term warming of the planet, which is primarily caused by the increasing levels of greenhouse gases in the Earth's atmosphere. These gases, such as carbon dioxide (CO2), methane (CH4), and water vapor (H2O), trap heat from the sun and prevent it from being released b"
Explain Climate Change,2,L2_rough,Explain climate change in a few paragraphs.,8.0,0.8165,"Climate change is a complex and multifaceted issue that refers to the long-term warming of the planet due to an increase in average global temperatures. This phenomenon is primarily caused by human activities, particularly the burning of fossil fuels such as coal, oil, and gas, which release large a"
Explain Climate Change,3,L3_formatted,"Explain climate change in exactly 3 bullet points, each exactly one sentence.",10.0,0.0,"Here are three bullet points explaining climate change:   * Climate change refers to the long-term warming of the planet due to an increase in average global temperatures, primarily caused by human activities that release greenhouse gases into the atmosphere.  * The main drivers of climate change ar"
Explain Climate Change,4,L4_constrained,Explain the 3 main causes of climate change to a high school student. Use this exact format for each cause — Cause: [name] | Impact: [one sentence]. Give exactly 3 causes.,10.0,0.0,"Here are the 3 main causes of climate change:  Cause: Burning of Fossil Fuels | Impact: The burning of fossil fuels such as coal, oil, and gas releases large amounts of carbon dioxide (CO2) into the atmosphere, leading to a global increase in greenhouse gases and trapping heat.  Cause: Deforestation"
Recommend Books,1,L1_vague,Recommend some books.,5.0,0.0,"I can recommend some popular and highly-rated books across various genres. Here are a few suggestions:  **Fiction:**  1. **""The Nightingale"" by Kristin Hannah**: A historical fiction novel set in France during World War II. 2. **""The Hitchhiker's Guide to the Galaxy"" by Douglas Adams**: A comedic sc"
Recommend Books,2,L2_rough,Recommend a few books I should read.,5.0,0.0,I'd be happy to recommend some books across various genres. Here are a few suggestions:  **Classics:**  1. **1984** by George Orwell: A dystopian novel that explores the dangers of totalitarianism and the loss of individual freedom. 2. **To Kill a Mockingbird** by Harper Lee: A Pulitzer Prize-winnin
Recommend Books,3,L3_formatted,"Recommend exactly 3 books. For each, give the title and author.",10.0,0.0,Here are three book recommendations:  1. **The Hitchhiker's Guide to the Galaxy** by Douglas Adams 2. **1984** by George Orwell 3. **To Kill a Mockingbird** by Harper Lee
Recommend Books,4,L4_constrained,Recommend exactly 3 books for someone who enjoys science fiction. Format each as: [Number]. '[Title]' by [Author] — [One sentence on why to read it].,10.0,0.0,"Here are three science fiction book recommendations:  1. 'Dune' by Frank Herbert — This classic novel explores complex themes of politics, ecology, and human nature in a richly detailed and immersive interstellar setting. 2. 'The Three-Body Problem' by Liu Cixin — This award-winning novel explores t"
Productivity Tips,1,L1_vague,Give me productivity tips.,5.6667,0.9428,"Here are some effective productivity tips to help you manage your time and tasks efficiently:  1. **Set clear goals**: Establishing clear goals helps you focus on what's important and prioritize your tasks accordingly. Break down large goals into smaller, manageable tasks to avoid feeling overwhelme"
Productivity Tips,2,L2_rough,Give me some tips on how to be more productive at work.,6.6667,1.2472,"Here are some tips to help you increase your productivity at work:  1. **Set clear goals and priorities**: Start your day by setting specific, measurable, and achievable goals. Prioritize your tasks based on their importance and deadlines. This will help you stay focused and motivated.  2. **Create "
Productivity Tips,3,L3_formatted,"Give exactly 4 productivity tips, each as a one-sentence rule.",10.0,0.0,"Here are four productivity tips, each as a one-sentence rule:  1. Prioritize tasks by focusing on the most critical and urgent activities first, and then allocate time for less important tasks accordingly. 2. Set clear and specific goals for each work session, and avoid multitasking by dedicating yo"
Productivity Tips,4,L4_constrained,Give exactly 4 productivity tips for a college student studying for exams. Format each as: Tip [number]: [Short title] — [One sentence explanation of the technique].,10.0,0.0,"Here are four productivity tips for a college student studying for exams:  Tip 1: Pomodoro Technique — This technique involves working in focused 25-minute increments, followed by a 5-minute break, to help maintain focus and avoid burnout.  Tip 2: Active Recall — By actively recalling key informatio"
Explain Machine Learning,1,L1_vague,Explain machine learning.,8.6667,0.4714,**Machine Learning: A Broad Overview** =====================================  Machine learning is a subset of artificial intelligence (AI) that enables computer systems to learn from data and improve their performance on a specific task without being explicitly programmed. The goal of machine learni
Explain Machine Learning,2,L2_rough,Explain what machine learning is in simple terms.,7.6667,0.4714,**Machine Learning in Simple Terms**  Machine learning is a way for computers to learn and improve their performance on a task without being explicitly programmed. Think of it like this:  Imagine you're trying to teach a child to recognize different animals. You wouldn't sit them down and write out 
